year,region,elo,ppp,FoulsC,FoulsR,GoalsFor,GoalsAgainst,YellowCards,DoubleYellow,RedCards,rank,confederation,UEFA
2006,angola,15,85146.82,74,52,1,2,9,1,0,55,CAF,0
2006,argentina,39,602383.49,101,106,11,3,12,0,1,3,CONMEBOL,0
2006,australia,21,709757.64,98,56,5,6,9,1,0,33,AFC,0
2006,brazil,39,2193224.87,75,91,10,2,11,0,0,1,CONMEBOL,0
2006,costa rica,9,46093.17,49,49,3,9,8,0,0,45,CONCACAF,0
2006,croatia,15,75156.89,59,61,2,3,7,2,0,23,UEFA,1
2006,czech republic,15,243476.8,53,51,3,4,5,1,1,10,UEFA,1
2006,ecuador,24,113283.04,79,62,5,4,9,0,0,28,CONMEBOL,0
2006,france,54,2063817.91,125,126,9,3,16,0,1,4,UEFA,1
2006,germany,54,2821081.05,125,133,14,6,12,0,0,9,UEFA,1
2006,ghana,24,53415.81,100,55,4,6,16,1,0,25,CAF,0
2006,iran,12,1059731.43,58,66,2,6,8,0,0,47,AFC,0
2006,italy,57,1880153.09,106,152,12,2,11,0,2,2,UEFA,1
2006,ivory coast,15,45824.78,45,55,5,6,7,1,0,20,CAF,0
2006,japan,12,4231828.04,39,45,2,7,7,0,0,49,AFC,0
2006,mexico,21,1479364.26,91,84,5,5,10,1,0,18,CONCACAF,0
2006,netherlands,27,663695.07,85,53,3,2,12,2,0,6,UEFA,1
2006,paraguay,15,34114.44,46,49,2,2,8,0,0,19,CONMEBOL,0
2006,poland,15,577616.95,46,48,2,4,8,1,0,30,UEFA,1
2006,portugal,48,259464.42,121,116,7,5,20,2,0,8,UEFA,1
2006,saudi arabia,12,1026943.95,58,60,2,7,5,0,0,81,AFC,0
2006,serbia and montenegro,9,17713.96,59,47,2,10,10,1,1,36,UEFA,1
2006,south korea,18,1251054.26,46,44,3,4,9,0,0,56,AFC,0
2006,spain,30,1368291.74,71,77,9,4,6,0,0,7,UEFA,1
2006,sweden,24,339821.16,66,51,3,4,8,1,0,22,UEFA,1
2006,switzerland,20,337617.32,64,73,4,0,12,0,0,13,UEFA,1
2006,togo,9,6406.32,57,41,1,6,8,1,0,48,CAF,0
2006,trinidad,12,35612.7,50,37,1,4,8,1,0,64,CONCACAF,0
2006,tunisia,12,85896.89,65,37,3,6,12,1,0,31,CAF,0
2006,uk,39,2099258.38,75,79,6,2,9,0,1,5,UEFA,1
2006,ukraine,30,336132.71,108,93,5,7,12,0,1,15,UEFA,1
2006,united states,12,13855888,55,60,2,6,3,1,1,16,CONCACAF,0
2010,algeria,12,455452.36,51,30,0,2,4,2,0,33,CAF,0
2010,argentina,39,755779.97,65,77,10,6,7,0,0,5,CONMEBOL,0
2010,australia,18,865291.79,62,36,3,6,7,0,2,20,AFC,0
2010,brazil,36,2803066.11,78,76,9,4,7,1,1,3,CONMEBOL,0
2010,cameroon,9,57326.56,56,41,2,5,5,0,0,40,CAF,0
